"Ticker Name","High Price","Hour"
"BYND","104.7","09"
"BYND","106.5","10"
"BYND","107.7","11"
"BYND","108.8","12"
"BYND","110.7","13"
"BYND","110.7","14"
"BYND","110.7","15"
"DDOG","77.0","09"
"DDOG","77.5","10"
"DDOG","78.6","11"
"DDOG","78.6","12"
"DDOG","79.1","13"
"DDOG","78.9","14"
"DDOG","78.8","15"
"FB","303.9","09"
"FB","303.9","10"
"FB","305.8","11"
"FB","306.6","12"
"FB","306.5","13"
"FB","306.8","14"
"FB","306.8","15"
"NFLX","492.1","09"
"NFLX","492.3","10"
"NFLX","495.3","11"
"NFLX","496.0","12"
"NFLX","496.8","13"
"NFLX","498.0","14"
"NFLX","496.7","15"
"OKTA","231.5","09"
"OKTA","231.8","10"
"OKTA","239.2","11"
"OKTA","238.7","12"
"OKTA","240.5","13"
"OKTA","239.5","14"
"OKTA","238.2","15"
"PINS","58.8","09"
"PINS","58.7","10"
"PINS","59.5","11"
"PINS","59.8","12"
"PINS","60.0","13"
"PINS","60.2","14"
"PINS","60.3","15"
"SHOP","1076.6","09"
"SHOP","1076.5","10"
"SHOP","1104.3","11"
"SHOP","1101.4","12"
"SHOP","1118.0","13"
"SHOP","1116.0","14"
"SHOP","1121.6","15"
"SNAP","52.6","09"
"SNAP","52.6","10"
"SNAP","52.2","11"
"SNAP","52.5","12"
"SNAP","52.7","13"
"SNAP","53.3","14"
"SNAP","53.7","15"
"SQ","215.5","09"
"SQ","215.5","10"
"SQ","219.9","11"
"SQ","221.5","12"
"SQ","221.8","13"
"SQ","221.4","14"
"SQ","221.0","15"
"TTD","494.8","09"
"TTD","490.9","10"
"TTD","494.5","11"
"TTD","491.4","12"
"TTD","497.2","13"
"TTD","508.7","14"
"TTD","515.5","15"
